# law_cat,crime_day,crime_month,duration_hours,suspect_age,suspect_sex,victim_age,victim_sex
3,16,3,1,35,1,55,0
1,12,3,2,22,1,22,0
2,12,3,1,35,1,35,0
3,15,3,2,22,0,35,1
1,16,3,1,35,1,35,0
3,19,3,1,35,1,35,1
3,17,3,5,35,0,65,0
3,21,3,5,55,1,35,0
2,19,3,2,35,1,65,0
1,19,3,1,55,0,18,0
1,15,3,1,35,0,35,0
1,20,3,1,35,1,35,1
1,19,3,1,35,1,35,1
2,16,3,1,22,0,55,1
1,21,3,2,35,1,22,0
2,15,3,1,35,1,35,1
1,12,3,2,35,1,18,0
1,17,3,1,35,1,35,1
2,17,3,1,55,1,55,1
2,20,3,1,35,1,55,1
2,11,3,1,35,1,35,1
3,13,3,1,35,1,35,1
2,14,3,1,35,1,55,0
2,14,3,1,35,1,35,1
1,28,2,7,35,1,35,0
3,20,3,1,22,0,35,1
2,21,3,1,55,1,65,1
2,20,3,1,35,1,35,1
2,13,3,1,35,1,35,0
3,20,3,2,35,1,35,1
1,13,3,1,22,1,35,1
1,25,1,1104,55,1,55,1
3,27,2,1,35,1,35,0
1,16,3,1,35,1,35,0
2,11,3,1,35,1,65,0
2,14,3,1,22,1,55,0
2,14,3,1,55,1,35,1
3,21,3,1,35,1,35,1
3,14,2,1,35,1,22,0
2,16,3,1,65,1,55,0
3,12,3,2,55,1,35,1
1,14,3,1,35,1,55,1
1,12,3,2,55,1,35,1
2,12,3,2,35,1,22,1
1,18,3,1,55,1,55,1
3,18,3,3,22,1,35,0
2,19,7,5852,55,1,55,0
1,15,3,1,35,1,18,1
1,18,3,1,35,1,35,0
2,14,3,2,35,1,55,1
1,18,3,1,35,1,55,0
1,15,3,1,35,0,35,0
3,19,3,2,18,0,55,0
3,14,3,1,35,1,22,0
2,7,3,1,35,1,35,0
1,16,3,2,55,1,22,0
1,12,3,1,55,1,55,1
1,21,3,2,55,1,35,0
2,14,3,1,35,0,35,1
1,18,3,2,35,0,35,0
3,27,2,223,35,1,35,1
1,18,3,1,22,0,22,0
1,14,3,1,22,1,35,0
2,13,3,1,22,1,55,1
2,21,3,1,35,1,35,1
2,20,3,1,35,1,35,1
1,19,3,1,55,1,35,0
1,18,3,1,35,1,55,1
2,17,3,1,35,0,35,1
3,19,3,1,35,1,22,1
2,15,3,97,35,1,35,1
1,19,3,1,55,1,55,0
1,12,3,1,35,1,22,0
1,21,3,1,18,1,18,0
2,13,3,1,65,1,22,1
2,19,3,1,55,1,35,1
1,15,3,1,35,1,35,0
2,19,3,3,55,1,35,0
3,18,3,1,22,1,35,1
2,16,3,1,55,1,55,0
2,19,3,1,35,1,35,0
1,14,3,1,22,0,55,1
3,14,3,2,35,1,35,0
2,15,3,1,35,1,55,1
3,20,3,1,22,1,35,1
3,15,3,1,35,1,35,0
1,20,3,2,35,0,55,0
3,19,3,1,35,1,35,0
1,16,1,1323,35,1,35,0
3,13,3,1,35,1,55,0
1,19,3,1,35,1,35,0
1,21,3,2,35,1,35,0
2,13,3,1,55,1,55,0
1,20,3,1,35,1,35,0
3,16,3,1,35,1,55,1
3,16,3,1,35,1,55,1
1,11,3,1,35,1,35,1
1,14,3,1,35,1,35,1
2,16,3,1,55,0,55,0
2,12,3,1,35,0,35,1
3,12,3,1,22,1,35,1
3,21,3,1,22,1,22,0
1,14,3,1,35,1,35,1
1,14,3,1,35,1,35,1
1,12,3,1,35,1,22,0
1,16,2,674,22,1,22,0
3,13,3,1,18,1,55,1
1,21,3,1,55,1,35,0
1,9,12,2450,55,1,55,0
1,16,3,9,35,1,55,1
1,17,3,1,35,0,35,0
1,13,3,1,22,1,55,0
1,14,3,1,35,1,35,0
1,20,3,1,35,1,35,0
1,17,3,2,22,1,35,0
1,12,3,1,35,1,35,1
1,19,3,1,22,1,35,1
2,13,3,1,18,1,35,0
2,15,3,1,35,1,55,1
3,16,3,1,35,1,35,0
1,17,3,1,55,1,55,1
3,20,3,2,35,1,35,1
2,18,3,1,55,0,35,0
1,20,3,1,55,1,55,0
2,14,3,1,55,1,55,1
2,14,3,1,35,1,35,1
1,13,3,1,35,1,35,0
1,19,3,1,35,1,55,1
3,19,3,1,55,0,35,1
1,16,3,1,35,1,35,0
2,11,3,1,35,0,35,0
1,13,3,7,35,1,65,0
3,12,3,1,35,1,35,1
2,12,3,1,55,1,35,1
1,16,3,1,22,0,22,1
3,21,3,1,22,1,35,1
3,12,3,1,35,1,22,0
1,15,3,1,35,0,35,0
1,13,3,1,55,1,35,1
2,19,3,1,35,1,35,0
2,15,3,1,55,1,55,0
1,20,3,2,55,1,35,0
1,16,3,3,55,0,55,0
2,16,3,1,35,1,35,0
1,16,3,2,55,1,55,1
1,13,3,1,35,1,35,0
3,20,3,3,22,1,55,0
1,12,3,1,22,1,35,1
2,20,3,1,55,1,35,0
3,21,3,1,35,1,35,0
2,21,3,1,35,1,35,0
1,18,3,3,22,1,22,0
3,18,3,2,35,1,35,1
1,12,3,1,35,1,35,1
1,10,3,115,35,0,55,1
2,21,3,1,35,0,35,1
1,12,3,1,55,1,35,0
2,14,3,1,35,1,35,0
1,12,3,2,35,1,35,0
1,18,3,1,55,1,55,0
1,21,3,1,55,0,22,0
1,8,3,1,55,1,55,0
3,18,3,1,35,1,35,1
1,13,3,1,22,1,22,1
2,15,3,1,35,1,35,0
1,16,3,1,35,1,35,1
1,17,3,1,22,1,35,0
1,19,3,1,22,0,55,1
1,15,3,98,35,1,35,0
3,10,3,2,35,0,22,0
3,16,3,2,22,1,22,0
1,20,3,1,35,0,35,1
1,15,3,1,55,1,35,1
1,13,3,1,35,1,55,1
1,14,3,17,35,1,35,1
1,4,3,193,35,1,35,0
1,20,3,2,55,1,55,0
2,1,3,395,35,1,55,0
3,20,3,1,35,0,22,0
3,11,3,1,18,1,35,0
